Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes,Unnamed: 9
IRO,Spring 2016,Feminine,"White lace dress, silver bomber jacket",Rings,"A-line, relaxed","Sporty, feminine",Mix of delicate lace with sporty bomber,
Thom Browne,Fall 2016,Masculine,"Gray overcoat, white shirt, gray suit, black tie","Black bowler hat, round sunglasses, black gloves, umbrella","Tailored, structured","Monochrome, theatrical","Dramatic makeup, classic menswear elements",
IRO,Spring 2016,Feminine,"White eyelet top, black leather pants","Black belt, rings","Slim, fitted","Casual, chic",Monochrome look with intricate top detailing,
IRO,Spring 2016,Feminine,"Patterned jacket, mesh top, white shorts","Silver belt, strappy sandals","Casual, layered","Eclectic, casual","Textured layers, neutral tones",
IRO,Spring 2016,Feminine,White sleeveless maxi dress,Snakeskin ankle boots,"Flowy, relaxed","Minimalist, bohemian","Side slit, delicate fabric",
Iro,Spring 2016,Feminine,"Open-knit sweater, patterned shorts",Black ankle boots,"Casual, relaxed","Bohemian, casual","Layered textures, monochrome accents",
Iro,Spring 2016,Feminine,White dress with sheer panels,"White belt, snakeskin ankle boots","A-line, flowing","Minimalist, chic","Monochrome look, subtle detailing",
Iro,Spring 2016,Feminine,"Patterned jacket, mesh top, black shorts",Black ankle boots,"Relaxed, casual","Bohemian, edgy","Mix of textures, monochrome palette",
Temperley London,Fall 2016,Feminine,"Embroidered sweater, patterned skirt",Studded ankle boots,"Fitted, structured","Eclectic, bold","Floral and bird motifs, fur shoulders",
Temperley London,Fall 2016,Feminine,"White lace dress, black waistband","Long necklace, earrings","A-line, tiered","Victorian, elegant","Lace detailing, puff sleeves",
Temperley London,Fall 2016,Feminine,"Embroidered cape, white blouse, ruffled skirt",Studded ankle boots,"Layered, flowy","Romantic, bohemian","Floral embroidery, sheer layers",
Phelan,Fall 2016,Feminine,"Embroidered cape, matching dress",Sneakers,"A-line, layered","Ornate, floral",Reflective floral embroidery,
Phelan,Fall 2016,Feminine,"Sheer turtleneck, embroidered skirt","Black boots, leather gloves","Fitted, structured","Edgy, modern",Mix of sheer and embroidered textures,
Phelan,Fall 2016,Feminine,"Textured sweater, pleated metallic skirt",Sneakers,"Voluminous, layered","Eclectic, textured",Contrasting textures with metallic elements,
IRO,Spring 2016,Feminine,"Silver metallic jacket, white lace top, white shorts","Strappy sandals, rings","Fitted, edgy","Futuristic, chic","Metallic finish, modern contrast",
Karen Walker,Spring 2016,Feminine,"Lilac ribbed top, patterned coat, checkered trousers",Statement earrings,"Relaxed, tailored","Eclectic, sophisticated","Mix of patterns, statement earrings",
Toga,Fall 2016,Feminine,"Orange top, black pants","Fur stole, embellished belt, studded bag","Fitted top, straight-leg pants","Eclectic, layered","Mix of textures, bold accessories",
Anna Sui,Fall 2016,Feminine,"Patterned mini dress, floral tights",Statement necklace,"A-line, playful","Bohemian, colorful",Vibrant patterns with floral motifs,
Balmain,Fall 2016,Feminine,"Silver striped cape, corset, fur-trimmed skirt, thigh-high boots",Gold choker,"Structured, layered","Futuristic, opulent","Metallic sheen, texture contrast",
Anya Hindmarch,Spring 2016,Feminine,"White tunic with black stripes, white shorts","Black and white striped handbag, white and black striped ankle boots","A-line, structured","Graphic, modern","Monochrome pattern, bold stripes",
Anya Hindmarch,Spring 2016,Feminine,"White and green chevron tunic, black shorts","Silver handbag with embellishments, white sneakers","A-line, relaxed","Sporty, contemporary","Chevron pattern, casual elements",
Vivienne Tam,Spring 2016,Feminine,"Striped strapless top, striped wide-leg pants",Slip-on sneakers,"Relaxed, flowy","Casual, modern","Ruffle detail on top, monochrome stripes",
Vivienne Tam,Spring 2016,Feminine,Striped wrap dress with ruffled sleeves,Slip-on sneakers,"A-line, relaxed","Casual, modern","Large floral applique, monochrome stripes",
Vivienne Tam,Spring 2016,Masculine,"Short-sleeve shirt with ruffle detail, cropped pants",Slip-on sneakers,"Straight, relaxed","Casual, modern","Mesh panel on shirt, monochrome look",
Rodebjer,Fall 2016,Feminine,"Red knit dress, red knit pants",White mesh cape with pearls,"Flowy, layered","Elegant, textured","Rich red color, mesh detailing",
Rodebjer,Fall 2016,Feminine,"Red knit tunic, red knit pants",White mesh cape with pearls,"Straight, relaxed","Sophisticated, minimalist","Monochrome look, subtle embellishments",
Rodebjer,Fall 2016,Feminine,White lace dress,Black platform boots,"A-line, asymmetrical","Romantic, vintage-inspired","Intricate lace, contrast footwear",
Rodebjer,Fall 2016,Feminine,"Black lace blouse, black wide-leg pants",Platform ankle boots,"Relaxed, flowing","Romantic, gothic",Intricate lace detailing,
Balmain,Fall 2016,Feminine,"Gray cape, corset, mini dress, thigh-high boots",,"Structured, layered","Monochrome, sleek","Emphasis on waist, tonal layering",
Rodebjer,Fall 2016,Feminine,"Black deep V-neck dress, black flared pants",Mesh choker,"Layered, elongated","Edgy, sophisticated",Mesh overlay adds texture,
Rodebjer,Fall 2016,Feminine,"Black ruffled top, black asymmetrical skirt",Platform boots,"Flowing, layered","Edgy, modern","Off-shoulder detail, monochrome look",
Rodebjer,Fall 2016,Feminine,"Camel sleeveless coat dress, black lace underlay",Mesh scarf,"Tailored, layered","Chic, sophisticated","Belted waist, lace accents",
Rodebjer,Fall 2016,Feminine,"Camel coat, camel sleeveless coat dress","Mesh scarf, aviator glasses","Tailored, layered","Chic, sophisticated","Layered outerwear, tall boots",
Ashley Williams,Spring 2016,Feminine,Red patent trench coat,"Fishnet stockings, statement earrings","Structured, belted","Bold, edgy","Features graphic patches, high shine",
Maison Kitsuné,Spring 2016,Feminine,"Blue hooded jacket, plaid dress",,"A-line, relaxed","Casual, youthful","Playful plaid dress, outdoor setting",
Maison Kitsuné,Spring 2016,Feminine,"Blue hooded jacket, plaid shirt",,"Relaxed, casual","Sporty, laid-back","Drawstring detail on hood, casual layering",
Maison Kitsuné,Spring 2016,Feminine,"Burgundy vinyl coat, plaid shirt, navy skirt",,"Straight, tailored","Modern, chic","Glossy finish on coat, classic plaid pattern",
Maison Kitsuné,Spring 2016,Feminine,Plaid dress,,"Fitted, knee-length","Chic, minimalist","Bold pattern, simple lines",
Maison Kitsuné,Spring 2016,Feminine,"White blouse, denim pinafore dress",,"Relaxed, A-line","Casual, youthful","Light layering, soft colors",
Maison Kitsuné,Spring 2016,Feminine,"Blue quilted jacket, striped pants",Miniature Eiffel Tower replicas,"Tailored, slim","Casual, playful","Mix of textures, French-inspired",
Rodebjer,Fall 2016,Feminine,"Black lace top, black layered skirt, black pants","Mesh choker, platform shoes","Layered, voluminous","Ethereal, dark",Layered lace creates depth,
Maison Kitsuné,Spring 2016,Feminine,"Patterned sweater, floral skirt",White flats,"Casual, laid-back","Eclectic, whimsical","Mix of patterns, relaxed fit",
Balmain,Fall 2016,Feminine,"Pink embellished dress, thigh-high boots",Gold belt,"Fitted, elongated","Elegant, detailed","Intricate patterns, soft color palette",
Undercover,Fall 2016,Feminine,"Green faux fur coat, mustard knit ensemble","White structured headpiece, large earrings","Oversized, voluminous","Eclectic, bold","Bold textures, statement outerwear",
Alexandre Vauthier,Spring 2016,Feminine,"Black tank top, black skirt with lace-up detail",,Fitted,"Edgy, contemporary",Lace-up detail adds texture,
Alexandre Vauthier,Spring 2016,Feminine,Black jumpsuit,Metallic belt,Structured,"Sophisticated, bold",Metallic belt accentuates waist,
Alexandre Vauthier,Spring 2016,Feminine,"Black leather jacket with fringe, black mini skirt",Black high heels,"Fitted, edgy","Bold, modern",Fringe detailing adds movement,
Alexandre Vauthier,Spring 2016,Feminine,Black strapless dress with lace-up back,,"Flowing, elegant","Chic, sophisticated",Lace-up detail creates a corset effect,
Area,Spring 2016,Feminine,"Ruffled top, cropped pants",Gold buckle shoes,"Voluminous, structured","Avant-garde, dramatic","Exaggerated ruffles, textured fabric",
Alexandre Vauthier,Spring 2016,Feminine,White jumpsuit,Red strappy heels,"Relaxed, fitted","Casual, chic",Monochrome look with bold footwear,
Antonio Marras,Spring 2016,Feminine,"Fur-trimmed top, metallic skirt","Color-block handbag, headpiece","Voluminous, cinched waist","Eclectic, luxurious",Textured fur with metallic sheen,
Antonio Marras,Spring 2016,Feminine,"Embroidered vest, wide-leg trousers",Headpiece,"Relaxed, layered","Artistic, intricate",Detailed embroidery with satin bow,
Antonio Marras,Spring 2016,Feminine,"Floral embellished blouse, metallic skirt","Embellished headpiece, beige handbag","Structured, A-line","Eclectic, artistic",Mix of textures and patterns,
Alexandre Vauthier,Spring 2016,Feminine,Embellished mini dress,Strappy heels,"Fitted, short","Glamorous, evening","Intricate detailing, metallic shine",
Balmain,Fall 2016,Feminine,"White fur coat, gold top, gray skirt",Wide black belt,"Voluminous, structured","Luxurious, bold","Strong shoulders, metallic accents",
Undercover,Fall 2016,Feminine,"Beige coat, black sweater, yellow textured pants","Branch-like headpiece, large earrings","Layered, voluminous","Whimsical, sophisticated","Textured pants, statement accessories",
Alexandre Vauthier,Spring 2016,Feminine,"Leather jacket, fringed skirt",Black strappy heels,"Slim, edgy","Rock, modern","Fringe details, leather texture",
Antonio Marras,Spring 2016,Feminine,"Double-breasted vest, tailored shorts","Embellished headpiece, two-tone handbag","Tailored, boxy","Modern, androgynous","Sleek lines, menswear-inspired",
Antonio Marras,Spring 2016,Feminine,"Striped jacket, satin shorts, embellished top",Embellished headpiece,"Relaxed, layered","Bohemian, vintage","Soft stripes, intricate detailing",
Anya Hindmarch,Spring 2016,Feminine,"Geometric patterned top, shorts","Patterned boots, handbag","Structured, fitted","Graphic, modern",Monochrome geometric patterns,
Anya Hindmarch,Spring 2016,Feminine,Geometric patterned bodysuit,"Scarf, handbag, metallic boots","Sleek, body-conscious","Futuristic, bold","Chevron patterns, metallic accents",
Anya Hindmarch,Spring 2016,Feminine,Geometric patterned coat-dress,"Handbag, patterned boots","Boxy, oversized","Chic, contemporary","Bold graphic design, chain strap bag",
Anya Hindmarch,Spring 2016,Feminine,"White and teal geometric bodysuit, shorts","Geometric tote bag, crossbody bag, white sneakers","Fitted, sporty","Graphic, modern","Chevron pattern, bold red lip",
Anya Hindmarch,Spring 2016,Feminine,White and teal geometric bodysuit,"Striped scarf, white sneakers","Fitted, sporty","Graphic, modern","Chevron pattern, minimal accessories",
Anya Hindmarch,Spring 2016,Feminine,White and teal striped bodysuit,"Striped scarf, white tote bag, knee-high boots","Fitted, sporty","Graphic, modern","Diagonal stripe pattern, personalized tote",
Undercover,Fall 2016,Feminine,"Blue oversized coat, striped shirt, knit pants","White structured headpiece, large earrings, printed scarf","Layered, oversized","Eclectic, layered","Contrasting textures, playful layering",
Undercover,Fall 2016,Feminine,"White textured coat, gray textured jumpsuit","White structured headpiece, large earrings, white handbag","Oversized, relaxed","Eclectic, cozy","Mix of textures, statement headpiece",
Alexandre Vauthier,Spring 2016,Feminine,"Black blazer, black pants",,"Tailored, sleek","Chic, modern","Deep V-neckline, minimalist",
Maison Kitsuné,Spring 2016,Feminine,"Floral crop top, matching shorts",White visor,"Fitted, sporty","Retro, playful","Coordinated set, vintage vibe",
Lisa Marie Fernandez,Spring 2016,Feminine,"Plaid cropped top, high-waisted bikini bottoms",,Fitted,Retro,Black and white plaid pattern,
Aquilano Rimondi,Spring 2016,Feminine,"Sheer white blazer, white pleated skirt",White strappy sandals,Structured,"Modern, minimalist","Sheer layering, tailored blazer",
Aquilano Rimondi,Spring 2016,Feminine,"Sheer floral blouse, white shorts","White crossbody bag, white ballet flats",Loose,"Romantic, airy","Floral appliqué, sheer texture",
Vivienne Tam,Spring 2016,Feminine,"Black and white embroidered bomber jacket, polka dot shirt, ruffled skirt",,"Layered, relaxed","Graphic, sporty","Mix of patterns, monochrome palette",
Vivienne Tam,Spring 2016,Feminine,White sleeveless dress with red graphic print,,"A-line, fitted","Casual, artistic","Bold graphic print, minimal accessories",
Vivienne Tam,Spring 2016,Feminine,"Mesh bomber jacket, printed dress",,"Layered, structured","Graphic, contemporary","Mesh texture, bold face print",
Agnona,Fall 2016,Feminine,Beige slip dress,"Red choker, beige knee-high boots","Slim, flowing","Minimalist, elegant",Simple yet striking with bold red accent,
Agnona,Fall 2016,Feminine,"Beige blouse, pink wrap skirt","Beige handbag, pink heels","Structured, classic","Sophisticated, polished",Soft color palette with structured lines,
Agnona,Fall 2016,Feminine,"Beige coat, beige turtleneck, purple trousers","Beige handbag, brown knee-high boots","Layered, relaxed","Chic, layered",Neutral tones with a touch of color,
Area,Spring 2016,Feminine,Layered sculptural dress,,"Voluminous, avant-garde","Architectural, experimental",Dramatic ruffles and structured layers,
Area,Spring 2016,Feminine,Blue ombre strapless dress,Hoop earrings,"Fitted, bodycon","Futuristic, sleek",Metallic sheen with gradient effect,
Aquilano Rimondi,Spring 2016,Feminine,"Sheer white blouse, white pleated skirt",White ballet flats,A-line,"Ethereal, delicate","Sheer fabric, ruffle details",
Area,Spring 2016,Feminine,"White embellished tunic, white cropped pants",Metallic sandals,"Relaxed, flowing","Playful, artistic",Features abstract embellishments,
Lisa Marie Fernandez,Spring 2016,Feminine,Striped maxi dress,,Flowy,"Bohemian, relaxed","Tiered layers, multicolored stripes",
Lisa Marie Fernandez,Spring 2016,Feminine,One-shoulder ruffled swimsuit,Ring,Fitted,Chic,Minimalist elegance,
Lisa Marie Fernandez,Spring 2016,Feminine,Off-the-shoulder striped dress,Earrings,Flowy,Bohemian,Relaxed and airy,
Agnona,Fall 2016,Feminine,"Beige cape, pencil skirt",Red handbag,"Structured, streamlined","Elegant, sophisticated",Monochrome look with bold red accents,
Agnona,Fall 2016,Feminine,"Coral top, mauve skirt",Quilted handbag,"Fitted, flowing","Chic, modern",Color-blocking with soft tones,
Agnona,Fall 2016,Feminine,"Beige blouse, red trousers",Large tote bag,"Relaxed, tailored","Casual, polished",Neutral top with vibrant pants,
Agnona,Fall 2016,Feminine,"Red cape coat, red trousers",Black knee-high boots,"Oversized, structured","Bold, monochrome",Dramatic red ensemble,
Agnona,Fall 2016,Feminine,"Beige fuzzy sweater, brown leather skirt",Gray ankle strap heels,"Fitted, classic","Textured, elegant",Mix of textures with soft and structured elements,
